fetch_run_id,source_key,started_at,finished_at,outcome,release_label,value_count,content_hash,is_changed,detail,loaded_by,host
2,nhs_dd_cds,2026-09-12T21:50:37.733827+00:00,2026-09-12T21:50:44.527362+00:00,failed,,,,,could not save it: 'activity_location_type_code',databot,192.168.65.1/32
3,nhs_dd_cds,2026-09-12T21:50:58.303823+00:00,2026-09-12T21:51:06.186431+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,true,first copy: 1483 codes across 126 lists,databot,192.168.65.1/32
4,nhs_dd_cds,2026-09-12T21:55:57.028191+00:00,2026-09-12T21:56:04.017599+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",databot,192.168.65.1/32
5,nhs_dd_cds,2026-09-13T09:04:15.366927+00:00,2026-09-13T09:04:22.596619+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",maintainer (by hand),192.168.65.1/32
6,nhs_dd_cds,2026-09-13T09:05:27.748022+00:00,2026-09-13T09:05:34.890065+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",maintainer,192.168.65.1/32
7,nhs_dd_cds,2026-09-13T09:42:34.814728+00:00,2026-09-13T09:42:42.999528+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",cold start test,192.168.65.1/32
8,nhs_dd_cds,2026-09-13T13:38:22.201265+00:00,2026-09-13T13:38:29.761038+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",rebuild check,Mac
9,nhs_dd_cds,2026-09-13T13:49:55.394094+00:00,2026-09-13T13:50:02.804913+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed","maintainer, clean slate",Mac
10,nhs_dd_cds,2026-09-13T15:24:27.731412+00:00,2026-09-13T15:24:37.958639+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
11,nhs_dd_cds,2026-09-14T12:43:39.199136+00:00,2026-09-14T12:44:07.035077+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
12,nhs_dd_cds,2026-09-15T11:42:41.774993+00:00,2026-09-15T11:43:15.300781+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
13,nhs_dd_cds,2026-09-16T11:30:26.531020+00:00,2026-09-16T11:31:02.226724+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
14,nhs_dd_cds,2026-09-17T11:39:42.668651+00:00,2026-09-17T11:40:07.484141+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
15,nhs_dd_cds,2026-09-18T11:12:08.639215+00:00,2026-09-18T11:12:18.026086+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
16,nhs_dd_cds,2026-09-19T10:57:00.021249+00:00,2026-09-19T10:57:31.880311+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
17,nhs_dd_cds,2026-09-20T11:21:18.842066+00:00,2026-09-20T11:21:39.461515+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
18,nhs_dd_cds,2026-09-21T12:45:59.247224+00:00,2026-09-21T12:46:32.853353+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
19,nhs_dd_cds,2026-09-22T11:36:09.571294+00:00,2026-09-22T11:36:36.856843+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmtr4k5
20,nhs_dd_cds,2026-09-23T11:33:38.415371+00:00,2026-09-23T11:34:03.435884+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmlun5p
21,nhs_dd_cds,2026-09-24T11:43:44.025807+00:00,2026-09-24T11:44:29.392256+00:00,success,July 2026 release,1483,ea5b2b941bba8147e54c14a4e1e3b086ded48617c3369dd8d368f5d274f34a56,false,"1483 codes, no code or meaning changed",github-actions (daily check),runnervmtr4k5
