critical_care_activity_code_key,code_kind,code,description,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
1,national,01,Respiratory support via a tracheal tube (Respiratory support via a tracheal tube provided),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
2,national,02,Nasal Continuous Positive Airway Pressure (nCPAP) ( PATIENT receiving nCPAP for any part of the day),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
3,national,03,Surgery ( PATIENT received surgery),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
4,national,04,Exchange Transfusion ( PATIENT received exchange transfusion),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
5,national,05,Peritoneal Dialysis ( PATIENT received Peritoneal Dialysis),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
6,national,06,"Continuous infusion of inotrope, pulmonary vasodilator or prostaglandin ( PATIENT received a continuous infusion of an inotrope, vasodilator (includes pulmonary vasodilators) or prostaglandin)",1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
7,national,07,Parenteral Nutrition ( PATIENT receiving Parenteral Nutrition (amino acids +/- lipids)),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
8,national,08,Convulsions ( PATIENT having convulsions requiring treatment),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
9,national,09,Oxygen Therapy ( PATIENT receiving additional oxygen),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
10,national,10,Neonatal abstinence syndrome ( PATIENT receiving drug treatment for neonatal abstinence (withdrawal) syndrome),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
11,national,11,Care of an intra-arterial catheter or chest drain ( PATIENT receiving care of an intra-arterial catheter or chest drain),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
12,national,12,Dilution Exchange Transfusion ( PATIENT received Dilution Exchange Transfusion),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
