referral_to_treatment_period_status_key,code_kind,code,description,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
1,national,10,First ACTIVITY in a REFERRAL TO TREATMENT PERIOD,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
2,national,11,First ACTIVITY at the start of a new REFERRAL TO TREATMENT PERIOD following Active Monitoring,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
3,national,12,First ACTIVITY at the start of a new REFERRAL TO TREATMENT PERIOD following a decision to refer directly to the CONSULTANT or NHS Allied Health Professional Service (Referral To Treatment Measurement) for a separate condition,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
4,national,20,Subsequent ACTIVITY during a REFERRAL TO TREATMENT PERIOD - further ACTIVITIES anticipated,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
5,national,21,Subsequent ACTIVITY by another Health Care Provider following a transfer to another Health Care Provider during a REFERRAL TO TREATMENT PERIOD anticipated,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
6,national,30,End of the REFERRAL TO TREATMENT PERIOD: Start of First Definitive Treatment,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
7,national,31,End of the REFERRAL TO TREATMENT PERIOD: Start of Active Monitoring initiated by the PATIENT,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
8,national,32,End of the REFERRAL TO TREATMENT PERIOD: Start of Active Monitoring initiated by the CARE PROFESSIONAL,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
9,national,33,End of the REFERRAL TO TREATMENT PERIOD: Did not attend - the PATIENT did not attend the first CARE ACTIVITY after the referral,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
10,national,34,End of the REFERRAL TO TREATMENT PERIOD: Decision not to treat - decision not to treat made or no further contact required,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
11,national,35,End of the REFERRAL TO TREATMENT PERIOD: PATIENT declined offered treatment,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
12,national,36,End of the REFERRAL TO TREATMENT PERIOD: PATIENT died before treatment,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
13,national,90,Not part of a REFERRAL TO TREATMENT PERIOD: After treatment - First Definitive Treatment occurred previously (e.g. admitted as an emergency from A&E or the ACTIVITY is after the start of treatment),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
14,national,91,Not part of a REFERRAL TO TREATMENT PERIOD: CARE ACTIVITY during Active Monitoring,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
15,national,92,"Not part of a REFERRAL TO TREATMENT PERIOD: Not yet referred for treatment, undergoing diagnostic tests by GENERAL PRACTITIONER before referral",1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
16,national,98,Not part of a REFERRAL TO TREATMENT PERIOD: ACTIVITY not applicable to REFERRAL TO TREATMENT PERIODS,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
17,national,99,REFERRAL TO TREATMENT PERIOD STATUS not yet known,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
