source_of_referral_for_out_patients_key,code_kind,code,description,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
1,national,01,CONSULTANT initiated following an emergency admission,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
2,national,02,CONSULTANT initiated following a Domiciliary Consultation,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
3,national,03,CONSULTANT not initiated following a referral from a GENERAL MEDICAL PRACTITIONER,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
4,national,04,"CONSULTANT not initiated following a referral from an Emergency Care Department (including Minor Injuries Units, Walk In Centres and Urgent Treatment Centres)",1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
5,national,05,"CONSULTANT not initiated following a referral from a CONSULTANT, other than in an Emergency Care Department",1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
6,national,06,CONSULTANT not initiated following a self-referral,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
7,national,07,CONSULTANT not initiated following a referral from a Prosthetist,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
8,national,10,"CONSULTANT initiated following an Emergency Care Attendance (including Minor Injuries, Walk In Centres and Urgent Treatment Centres)",1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
9,national,11,CONSULTANT initiated: Other (not listed),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
10,national,12,CONSULTANT not initiated following a referral from a General Practitioner with an Extended Role ( GPwER) or Dentist with Enhanced Skills ( DES),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
11,national,13,CONSULTANT not initiated following a referral from a Specialist NURSE (Secondary Care),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
12,national,14,CONSULTANT not initiated following a referral from an Allied Health Professional,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
13,national,15,CONSULTANT not initiated following a referral from an OPTOMETRIST,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
14,national,16,CONSULTANT not initiated following a referral from an Orthoptist,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
15,national,17,CONSULTANT not initiated following a referral from a National Screening Programme,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
16,national,92,CONSULTANT not initiated following a referral from a GENERAL DENTAL PRACTITIONER,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
17,national,93,CONSULTANT not initiated following a referral from a Community Dental Service,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
18,national,97,CONSULTANT not initiated following a referral: Other (not listed),1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
