ward_intended_clinical_care_intensity_key,code_kind,code,description,valid_from,valid_to,is_current,first_fetch_run_id,loaded_at,loaded_by,updated_at,updated_by
1,national,11,"General PATIENTS: for intensive therapy, including high dependency care",1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
2,national,12,General PATIENTS: for normal therapy: where resources permit the admission of PATIENTS who might need all but intensive or high dependency therapy,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
3,national,13,General PATIENTS: for limited therapy: where nursing care rather than continuous medical care is provided. Such WARDS can be used only for PATIENTS carefully selected and restricted to a narrow range in terms of the extent and nature of disease,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
4,national,21,"Younger physically disabled PATIENTS: spinal units, only those units which are nationally recognised",1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
5,national,22,Younger physically disabled PATIENTS: other units,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
6,national,31,Neonates: not associated with the maternity WARD and in which there are some designated cots for intensive care,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
7,national,32,Neonates: non-maternity: not associated with the maternity WARD and without designated cots for intensive care,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
8,national,33,Neonates: maternity: associated with the maternity WARD in that cots are in the maternity WARD nursery or in the WARD itself,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
9,national,41,Only for maternity PATIENTS looked after by CONSULTANTS,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
10,national,42,Joint use for maternity PATIENTS looked after by CONSULTANTS and GENERAL MEDICAL PRACTITIONERS,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
11,national,43,Only for maternity PATIENTS looked after by GENERAL MEDICAL PRACTITIONERS,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
12,national,51,Mental Illness intensive care: specially designated ward for PATIENTS needing containment and more intensive management (e.g. Psychiatric Intensive Care Unit (PICU)). This is not to be confused with intensive nursing where PATIENTS may require one to one nursing while on a standard WARD,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
13,national,52,Mental Illness short stay: PATIENTS intended to stay less than a year,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
14,national,53,Mental Illness long stay: PATIENTS intended to stay a year or more,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
15,national,61,Learning Disability PATIENTS in a designated or interim secure unit,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
16,national,62,Learning Disability PATIENTS intending to stay less than a year,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
17,national,63,Learning Disability PATIENTS intending to stay a year or more,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
18,national,81,Terminally ill/ Palliative Care PATIENTS,1900-01-01T00:00:00.000000+00:00,,true,3,2026-09-12T21:50:58.303823+00:00,databot,,
